month,station,in_count,out_count,total
2025-05,서울역,2099557,2087256,4186813
2025-05,잠실(송파구청),1833326,1866449,3699775
2025-05,홍대입구,1706666,1818814,3525480
2025-05,고속터미널,1594195,1580297,3174492
2025-05,강남,1451295,1426085,2877380
2025-05,사당,1292074,1317677,2609751
2025-05,선릉,1230542,1225292,2455834
2025-05,가산디지털단지,1066230,1109839,2176069
2025-05,신림,1073438,1055999,2129437
2025-05,여의도,1040293,1058969,2099262
2025-05,구로디지털단지,1037747,1026596,2064343
2025-05,종로3가,1026697,1017709,2044406
2025-05,신도림,1034745,1008038,2042783
2025-05,건대입구,979913,1014185,1994098
2025-05,삼성(무역센터),981462,990151,1971613
2025-05,수원,937185,969051,1906236
2025-05,시청,955467,936306,1891773
2025-05,성수,895050,970409,1865459
2025-05,역삼,859355,974613,1833968
2025-05,을지로입구,882107,913213,1795320
2025-05,합정,859240,919766,1779006
2025-05,서울대입구(관악구청),882090,845332,1727422
2025-05,교대(법원.검찰청),862891,841561,1704452
2025-05,노원,761411,830536,1591947
2025-05,용산,787438,793411,1580849
2025-05,청량리(서울시립대입구),768404,772064,1540468
2025-05,영등포,768387,768828,1537215
2025-05,신촌,758931,775534,1534465
2025-05,공덕,746373,752791,1499164
2025-05,당산,714699,747889,1462588
2025-05,천호(풍납토성),700234,734746,1434980
2025-05,동대문역사문화공원(DDP),706587,711975,1418562
2025-05,혜화,701660,706885,1408545
2025-05,양재(서초구청),677483,720331,1397814
2025-05,왕십리(성동구청),698327,677492,1375819
2025-05,명동,665232,706955,1372187
2025-05,을지로3가,685209,683400,1368609
2025-05,종각,689063,676722,1365785
2025-05,수서,676851,687750,1364601
2025-05,연신내,684256,648661,1332917
2025-05,노량진,668585,661226,1329811
2025-05,수유(강북구청),639376,637804,1277180
2025-05,대림(구로구청),631086,641787,1272873
2025-05,광화문(세종문화회관),604584,640045,1244629
2025-05,충무로,597152,615521,1212673
2025-05,부천,599969,601691,1201660
2025-05,동대문,584981,584261,1169242
2025-05,압구정,562269,600467,1162736
2025-05,신논현,573633,578451,1152084
2025-05,디지털미디어시티,566771,566756,1133527
2025-05,부평,550231,580169,1130400
2025-05,경복궁(정부서울청사),547086,572011,1119097
2025-05,남부터미널(예술의전당),553720,558485,1112205
2025-05,안국,533088,557093,1090181
2025-05,범계,543362,542201,1085563
2025-05,회현(남대문시장),523757,547738,1071495
2025-05,금정,527632,537077,1064709
2025-05,회기,540642,514668,1055310
2025-05,김포공항,553090,498103,1051193
2025-05,쌍문,544078,505047,1049125
2025-05,창동,511172,535525,1046697
2025-05,낙성대(강감찬),524935,506246,1031181
2025-05,영등포구청,502150,516842,1018992
2025-05,화곡,525425,488920,1014345
2025-05,신사,492318,518985,1011303
2025-05,까치산,513847,492411,1006258
2025-05,강변(동서울터미널),521217,482548,1003765
2025-05,역곡,501259,498286,999545
